base,1,2,3,4,5,6,7,8,9,10
jaime-sabines-dice-ruben,alejandra-pizarnik-la-mesa-verde,alejandra-pizarnik-el-sol-como-un-gran-animal-demasiado-amarillo,jaime-sabines-adan-y-eva,cesar-vallejo-los-heraldos-negros,alejandra-pizarnik-la-noche,alejandra-pizarnik-poco-se-de-la-noche,catulo-la-goleta-aquella-que-veis-huespedes,alfonsina-storni-capricho-2,jaime-sabines-pasa-el-lunes,jaime-sabines-cantemos-al-dinero
alfonsina-storni-cancion-de-la-mujer-astuta,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonsina-storni-bajo-tus-miradas,jaime-sabines-mi-corazon-emprende,alfonsina-storni-frente-al-mar,alfonsina-storni-la-invitacion-amable,alfonsina-storni-un-sol,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-la-copa-negra,alfonsina-storni-transfusion,alfonsina-storni-a-pesar-de-mi-misma-te-amo-eres-tan-vano
alejandra-pizarnik-todo-hace-el-amor-con-el-silencio,alejandra-pizarnik-signos,alejandra-pizarnik-debajo-de-mi-vestido-ardia-un-campo-con-flores-alegres,alejandra-pizarnik-en-un-ejemplar-de-les-chants-de-maldoror,vicente-huidobro-fatiga,mario-benedetti-ngelus,vicente-huidobro-estrella-hija-de-estrella,alfonsina-storni-el-cisne-enfermo,alfonsina-storni-resurgir,vicente-huidobro-18,vicente-huidobro-arte-poetica
alejandra-pizarnik-esta-lila-se-deshoja,alejandra-pizarnik-vertigos-o-contemplacion-de-algo-que-termina,alejandra-pizarnik-mi-amor-se-amplia,alejandra-pizarnik-solo-un-amor,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-mensajeros-en-la-noche-anunciaron-lo-que-no-oimos,alejandra-pizarnik-la-danza-inmovil,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,alejandra-pizarnik-peregrinaje,jaime-sabines-miss-x,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres
vicente-huidobro-monumento-al-mar,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-para-llorar,vicente-huidobro-18,alfonsina-storni-el-sueno,vicente-huidobro-poema-funerario,vicente-huidobro-el-celebre-oceano,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-ese-instante-que-no-se-olvida
alejandra-pizarnik-una-flor,alejandra-pizarnik-amantes,vicente-huidobro-horas,alfonso-reyes-sol-de-monterrey,jaime-sabines-pequena-del-amor,alfonsina-storni-viaje,jaime-sabines-vieja-la-noche,alejandra-pizarnik-la-jaula,alejandra-pizarnik-afuera-hay-sol,alfonsina-storni-retrato-de-garcia-lorca,alfonsina-storni-buscando-raices-de-alas
alejandra-pizarnik-en-la-mano-crispada-de-un-muerto,alejandra-pizarnik-moradas,alejandra-pizarnik-la-luz-es-demasiado-grande,alejandra-pizarnik-origen,alejandra-pizarnik-exilio,jaime-sabines-te-quiero-porque-tienes,alejandra-pizarnik-esta-mania-de-saberme-angel,jaime-sabines-vieja-la-noche,alfonso-reyes-apenas,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-himno-a-los-voluntarios-de-la-republica
alfonso-reyes-al-declinar-la-tarde-se-acercan-los-amigos,alfonso-reyes-el-llanto,jaime-sabines-los-amorosos,alfonsina-storni-espera,alfonsina-storni-al-oido,alejandra-pizarnik-noche,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,vicente-huidobro-para-llorar,jaime-sabines-miss-x,alfonsina-storni-esta-tarde,vicente-huidobro-estrella-hija-de-estrella
cesar-vallejo-espergesia,mario-benedetti-a-la-izquierda-del-roble,alfonso-reyes-es-toledo-ciudad-eclesiastica,alfonso-reyes-el-mal-confitero,jaime-sabines-los-dias-inutiles,alfonso-reyes-la-senal-funesta,tirso-de-molina-coplas,alfonsina-storni-tu-me-quieres-blanca,mario-benedetti-un-padre-nuestro-latinoamericano,alfonso-reyes-los-caballos,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres
jaime-sabines-vieja-la-noche,alfonso-reyes-morir,tirso-de-molina-versos-de-novela-cortesana,alfonso-reyes-sol-de-monterrey,alejandra-pizarnik-esta-mania-de-saberme-angel,alfonso-reyes-apenas,alfonso-reyes-glosa-de-mi-tierra,alejandra-pizarnik-exilio,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonso-reyes-la-tonada-de-la-sierva-enemiga
emily-dickinson-en-mi-jardin-avanza-un-pajaro,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonso-reyes-morir,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-miss-x,cesar-vallejo-romeria,alfonso-reyes-glosa-de-mi-tierra
alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-amor,alfonso-reyes-glosa-de-mi-tierra,cesar-vallejo-mayo,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonso-reyes-morir,vicente-huidobro-el-celebre-oceano,cesar-vallejo-desnudo-en-barro,alfonsina-storni-el-sueno,alfonsina-storni-esta-tarde
alejandra-pizarnik-ante-la-lugubre-mania-de-vivir,alejandra-pizarnik-la-enamorada,alfonsina-storni-plegaria-a-la-traicion,vicente-huidobro-balada-de-lo-que-no-vuelve,cesar-vallejo-yeso,alejandra-pizarnik-ese-instante-que-no-se-olvida,alejandra-pizarnik-a-la-espera-de-la-oscuridad,vicente-huidobro-monumento-al-mar,vicente-huidobro-el-paso-del-retorno,jaime-sabines-te-quiero-porque-tienes,alfonso-reyes-morir
mario-benedetti-el-amor-es-un-centro,mario-benedetti-a-tientas,vicente-huidobro-viajero,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-senora,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-enamorarse-y-no,vicente-huidobro-18,cesar-vallejo-absoluta,mario-benedetti-buenos-dias-gabriel
alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-estrella-hija-de-estrella,mario-benedetti-un-padre-nuestro-latinoamericano,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-la-noche-se-astillo-de-estrellas
alfonso-reyes-caravana,alfonso-reyes-hoy-tuvimos-noticia-del-poeta,alfonso-reyes-no-aqui-la-tierra-triunfa-y-manda,alfonso-reyes-veracruz,alfonso-reyes-los-caballos,alfonsina-storni-sabado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,alfonso-reyes-no-es-cuba-donde-el-mar-disuelve-el-alma,alfonso-reyes-la-habana,jaime-sabines-tlaltelolco-68
vicente-huidobro-el-espejo-de-agua,alfonsina-storni-esta-tarde,alfonsina-storni-el-sueno,vicente-huidobro-monumento-al-mar,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-versos-otonales,alfonsina-storni-al-mirar-mis-mejillas-que-ayer-estaban-rojas,vicente-huidobro-noche,vicente-huidobro-sobre-la-nieve-se-oye-resbalar-la-noche,alfonsina-storni-alma-desnuda
alejandra-pizarnik-el-sol-el-poema,alejandra-pizarnik-barcos-sobre-el-agua-natal,alfonsina-storni-el-cisne-enfermo,vicente-huidobro-viajero,alfonsina-storni-capricho-2,mario-benedetti-buenos-dias-gabriel,vicente-huidobro-senora,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,alejandra-pizarnik-peregrinaje,vicente-huidobro-monumento-al-mar,vicente-huidobro-18
jaime-sabines-mi-corazon-emprende,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonsina-storni-frente-al-mar,alfonso-reyes-morir,alfonsina-storni-al-oido,cesar-vallejo-yeso,jaime-sabines-miss-x,cesar-vallejo-la-copa-negra,jaime-sabines-te-quiero-porque-tienes,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,cesar-vallejo-romeria
alejandra-pizarnik-solo-un-nombre,alejandra-pizarnik-alejandra-alejandra,mario-benedetti-tactica-y-estrategia,alejandra-pizarnik-la-noche-se-astillo-de-estrellas,alejandra-pizarnik-cenizas,alfonsina-storni-tu-me-quieres-blanca,alejandra-pizarnik-senor,alejandra-pizarnik-el-despertar,mario-benedetti-te-quiero,mario-benedetti-tus-manos-son-mi-caricia,mario-benedetti-a-la-izquierda-del-roble
alejandra-pizarnik-el-sol-el-poema,alejandra-pizarnik-barcos-sobre-el-agua-natal,alfonsina-storni-el-cisne-enfermo,vicente-huidobro-viajero,alfonsina-storni-capricho-2,mario-benedetti-buenos-dias-gabriel,vicente-huidobro-senora,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,alejandra-pizarnik-peregrinaje,vicente-huidobro-monumento-al-mar,vicente-huidobro-18
alejandra-pizarnik-y-es-siempre-el-jardin-de-lilas-del-otro-lado-del-rio,alejandra-pizarnik-rescate,alfonsina-storni-capricho-2,alfonsina-storni-el-cisne-enfermo,alfonsina-storni-la-invitacion-amable,mario-benedetti-ngelus,cesar-vallejo-donde-nunca-llegaremos,alfonsina-storni-resurgir,alfonsina-storni-a-pesar-de-mi-misma-te-amo-eres-tan-vano,alfonsina-storni-indolencia,catulo-el-varo-a-mi-mio-a-sus-amores
cesar-vallejo-gape,cesar-vallejo-piedra-negra-sobre-una-piedra-blanca,cesar-vallejo-me-morire-en-paris-con-aguacero,cesar-vallejo-donde-nunca-llegaremos,alfonsina-storni-el-clamor,alfonso-reyes-los-caballos,tirso-de-molina-coplas,cesar-vallejo-los-pasos-lejanos,alfonso-reyes-sol-de-monterrey,cesar-vallejo-verano,alejandra-pizarnik-noche
alfonsina-storni-soy-suave-y-triste-si-idolatro-puedo,alfonsina-storni-soy,alfonso-reyes-morir,alfonsina-storni-vida,cesar-vallejo-yeso,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-frente-al-mar,alfonsina-storni-tu-que-nunca-seras,alfonsina-storni-un-sol
catulo-planid-oh-las-venus-y-los-deseos,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,tirso-de-molina-versos-de-novela-cortesana,catulo-preguntas-cuantos-a-mi-besares,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,alfonsina-storni-soy-suave-y-triste-si-idolatro-puedo,alfonsina-storni-soy,catulo-pobre-catulo-que-dejes-de-hacer-lo-indebido,alfonso-reyes-morir,alfonsina-storni-date-a-volar,alfonsina-storni-anda-date-a-volar-hazte-una-abeja
alejandra-pizarnik-mata-su-luz-un-fuego-abandonado,alejandra-pizarnik-despedida,alfonsina-storni-esta-tarde,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-anda-date-a-volar-hazte-una-abeja,alfonsina-storni-date-a-volar,alfonsina-storni-soy-un-alma-desnuda-en-estos-versos,alfonsina-storni-alma-desnuda
alejandra-pizarnik-esta-mania-de-saberme-angel,alejandra-pizarnik-exilio,alfonso-reyes-morir,alfonsina-storni-soy-un-alma-desnuda-en-estos-versos,alfonsina-storni-alma-desnuda,alfonsina-storni-plegaria-a-la-traicion,tirso-de-molina-versos-de-novela-cortesana,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonsina-storni-esta-tarde,alejandra-pizarnik-origen,alejandra-pizarnik-la-luz-es-demasiado-grande
alejandra-pizarnik-mas-alla-del-olvido,alejandra-pizarnik-alguna-vez-de-un-costado-de-la-luna,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-el-sueno,alfonsina-storni-amor,alfonsina-storni-esta-tarde,cesar-vallejo-mayo,alfonsina-storni-tu-dulzura,alfonsina-storni-camino-lentamente-por-la-senda-de-acacias,tirso-de-molina-sale-el-sol-por-el-cielo-luminoso
cesar-vallejo-a-mi-hermano-miguel,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,mario-benedetti-a-la-izquierda-del-roble,cesar-vallejo-los-dados-eternos,alfonsina-storni-capricho-2,cesar-vallejo-me-morire-en-paris-con-aguacero,cesar-vallejo-piedra-negra-sobre-una-piedra-blanca,alfonso-reyes-los-caballos,alfonsina-storni-tu-me-quieres-blanca,cesar-vallejo-los-nueve-monstruos,alfonso-reyes-el-descastado
alejandra-pizarnik-dias-contra-el-ensueno,alejandra-pizarnik-no-querer-blancos-rodando,alfonsina-storni-tu-me-quieres-blanca,alfonso-reyes-los-caballos,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,cesar-vallejo-donde-nunca-llegaremos,alfonsina-storni-dolor,alfonsina-storni-quisiera-esta-tarde-divina-de-octubre,alfonso-reyes-quedate-callado,mario-benedetti-a-la-izquierda-del-roble
alejandra-pizarnik-mensajeros-en-la-noche-anunciaron-lo-que-no-oimos,alejandra-pizarnik-la-danza-inmovil,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-estrella-hija-de-estrella,alejandra-pizarnik--y-si-nos-vamos-anticipando,alejandra-pizarnik-mucho-mas-alla,vicente-huidobro-monumento-al-mar,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor
alfonsina-storni-tenias-miedo-de-mi-carne-mortal,jaime-sabines-mi-corazon-emprende,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonsina-storni-dulce-y-sombrio,cesar-vallejo-la-copa-negra,alfonsina-storni-cancion-de-la-mujer-astuta,alfonso-reyes-visitacion,jaime-sabines-te-quiero-porque-tienes,alfonsina-storni-frente-al-mar,alfonsina-storni-al-oido,cesar-vallejo-a-mi-hermano-miguel
jaime-sabines-te-quiero-a-las-diez-de-la-manana,jaime-sabines-te-desnudas-igual-que-si-estuvieras-sola,jaime-sabines-me-tienes-en-tus-manos,jaime-sabines-adan-y-eva,jaime-sabines-te-desnudas-igual,alejandra-pizarnik-los-ausentes-soplan-grismente-y-la-noche-es-densa,alejandra-pizarnik-sous-la-nuit,alfonsina-storni-el-engano,jaime-sabines-dice-ruben,alejandra-pizarnik-el-sol-como-un-gran-animal-demasiado-amarillo,alejandra-pizarnik-la-mesa-verde
vicente-huidobro-sobre-la-nieve-se-oye-resbalar-la-noche,vicente-huidobro-noche,alfonsina-storni-esta-tarde,vicente-huidobro-monumento-al-mar,vicente-huidobro-el-espejo-de-agua,vicente-huidobro-el-celebre-oceano,vicente-huidobro-horas,vicente-huidobro-poema-funerario,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-alerta
alejandra-pizarnik-extrano-desacostumbrarme,alejandra-pizarnik-15,cesar-vallejo-donde-nunca-llegaremos,tirso-de-molina-coplas,alfonso-reyes-a-cuernavaca,tirso-de-molina-que-confusion-enmaranados-cielos,alfonso-reyes-quedate-callado,alfonso-reyes-la-senal-funesta,alfonso-reyes-sol-de-monterrey,alfonso-reyes-los-caballos,alfonso-reyes-la-tonada-de-la-sierva-enemiga
cesar-vallejo-bordas-de-hielo,alfonso-reyes-morir,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,cesar-vallejo-yeso,alfonsina-storni-dulce-y-sombrio,vicente-huidobro-balada-de-lo-que-no-vuelve,alfonsina-storni-al-oido,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-los-pasos-lejanos,jaime-sabines-miss-x
alejandra-pizarnik-sous-la-nuit,alejandra-pizarnik-los-ausentes-soplan-grismente-y-la-noche-es-densa,vicente-huidobro-fatiga,alejandra-pizarnik-lobscurite-des-eaux,alejandra-pizarnik-escucho-resonar-el-agua-que-cae-en-mi-sueno,alfonsina-storni-fiero-amor,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,cesar-vallejo-la-copa-negra,alfonsina-storni-subconciencia,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche
alfonsina-storni-parasitos,catulo-la-goleta-aquella-que-veis-huespedes,cesar-vallejo-entre-el-dolor-y-el-placer-median-tres-criaturas,alfonsina-storni-la-invitacion-amable,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,catulo-el-varo-a-mi-mio-a-sus-amores,cesar-vallejo-donde-nunca-llegaremos,alfonsina-storni-capricho-2,vicente-huidobro-arte-poetica,cesar-vallejo-epistola-a-los-transeuntes
emily-dickinson-la-sortija,alfonsina-storni-al-oido,alfonsina-storni-sabado,jaime-sabines-miss-x,vicente-huidobro-fatiga,alfonso-reyes-sol-de-monterrey,alfonsina-storni-dulce-y-sombrio,alfonsina-storni-ayme,cesar-vallejo-los-pasos-lejanos,alfonsina-storni-esta-tarde,alfonsina-storni-viaje
alfonsina-storni-indolencia,alfonsina-storni-a-pesar-de-mi-misma-te-amo-eres-tan-vano,cesar-vallejo-los-dados-eternos,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonso-reyes-morir,alfonsina-storni-frente-al-mar,cesar-vallejo-yeso,vicente-huidobro-aqui-estamos,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-epistola-a-los-transeuntes,alfonsina-storni-la-invitacion-amable
cesar-vallejo-entre-el-dolor-y-el-placer-median-tres-criaturas,cesar-vallejo-donde-nunca-llegaremos,cesar-vallejo-los-nueve-monstruos,catulo-la-goleta-aquella-que-veis-huespedes,cesar-vallejo-epistola-a-los-transeuntes,cesar-vallejo-los-dados-eternos,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,catulo-el-varo-a-mi-mio-a-sus-amores,jaime-sabines-pasa-el-lunes
vicente-huidobro-para-llorar,vicente-huidobro-monumento-al-mar,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-aqui-estamos,vicente-huidobro-18,vicente-huidobro-viajero,alejandra-pizarnik-ese-instante-que-no-se-olvida,alejandra-pizarnik-a-la-espera-de-la-oscuridad,vicente-huidobro-poema-funerario
alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-estrella-hija-de-estrella,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,vicente-huidobro-viajero,mario-benedetti-a-la-izquierda-del-roble,emily-dickinson-no-era-la-muerte-pues-yo-estaba-de-pie
alejandra-pizarnik-ya-he-perdido-el-nombre-que-me-llamaba,alejandra-pizarnik-privilegio,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonso-reyes-glosa-de-mi-tierra,jaime-sabines-miss-x,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-el-paso-del-retorno,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,alfonso-reyes-morir
vicente-huidobro-viajero,vicente-huidobro-aqui-estamos,vicente-huidobro-senora,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-monumento-al-mar,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-el-paso-del-retorno,mario-benedetti-buenos-dias-gabriel,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-para-llorar,vicente-huidobro-18
alfonsina-storni-hombre-pequenito,cesar-vallejo-a-mi-hermano-miguel,tirso-de-molina-coplas,alfonsina-storni-asi,jaime-sabines-tarumba,cesar-vallejo-piedra-negra-sobre-una-piedra-blanca,cesar-vallejo-me-morire-en-paris-con-aguacero,alfonsina-storni-tu-me-quieres-blanca,mario-benedetti-a-la-izquierda-del-roble,alfonso-reyes-los-caballos,jaime-sabines-los-dias-inutiles
alejandra-pizarnik-afuera-hay-sol,alejandra-pizarnik-la-jaula,alfonso-reyes-sol-de-monterrey,alfonsina-storni-al-oido,alfonsina-storni-viaje,alejandra-pizarnik-solo-un-amor,alejandra-pizarnik-mi-amor-se-amplia,vicente-huidobro-estrella-hija-de-estrella,alfonso-reyes-glosa-de-mi-tierra,alfonso-reyes-morir,vicente-huidobro-balada-de-lo-que-no-vuelve
alejandra-pizarnik-y-sobre-todo-mirar-con-inocencia,alejandra-pizarnik-caminos-del-espejo,jaime-sabines-adan-y-eva,alejandra-pizarnik-ya-he-perdido-el-nombre-que-me-llamaba,alejandra-pizarnik-privilegio,alejandra-pizarnik-el-ausente,alejandra-pizarnik-la-sangre-quiere-sentarse,alejandra-pizarnik-senor,alejandra-pizarnik-el-despertar,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado
tirso-de-molina-falsa-amistad-ladron-disimulado,catulo-preguntas-cuantos-a-mi-besares,tirso-de-molina-versos-de-novela-cortesana,catulo-flavio-las-delicias-tuyas-a-catulo,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,alfonso-reyes-quedate-callado,alfonso-reyes-morir,alfonso-reyes-la-tonada-de-la-sierva-enemiga,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,tirso-de-molina-que-confusion-enmaranados-cielos
mario-benedetti-ningun-padre-de-la-iglesia,mario-benedetti-once,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-a-la-izquierda-del-roble,cesar-vallejo-espergesia,cesar-vallejo-donde-nunca-llegaremos,catulo-el-varo-a-mi-mio-a-sus-amores,alfonso-reyes-los-caballos,cesar-vallejo-entre-el-dolor-y-el-placer-median-tres-criaturas
alfonsina-storni-ay,alfonsina-storni-dulce-y-sombrio,alfonsina-storni-al-oido,alfonsina-storni-noche-divina,cesar-vallejo-mayo,tirso-de-molina-versos-de-novela-cortesana,alfonsina-storni-moderna,alfonsina-storni-espera,alfonso-reyes-morir,alfonsina-storni-la-invitacion-amable,alfonsina-storni-un-sol
alfonso-reyes-el-mal-confitero,alfonso-reyes-es-toledo-ciudad-eclesiastica,alfonso-reyes-los-caballos,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonsina-storni-tu-me-quieres-blanca,alfonso-reyes-la-tonada-de-la-sierva-enemiga,alfonso-reyes-morir,cesar-vallejo-verano,cesar-vallejo-el-pan-nuestro,cesar-vallejo-los-nueve-monstruos
alejandra-pizarnik-revelaciones,alejandra-pizarnik-en-la-noche-a-tu-lado,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,alfonsina-storni-resurgir,jaime-sabines-mi-corazon-emprende,vicente-huidobro-viajero,vicente-huidobro-arte-poetica,jaime-sabines-te-quiero-porque-tienes,alejandra-pizarnik-peregrinaje
vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-poema-funerario,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor
alejandra-pizarnik-18,alejandra-pizarnik-como-un-poema-enterado,alfonsina-storni-dos-palabras,alejandra-pizarnik-hemos-dicho-palabras,alfonso-reyes-apenas,alejandra-pizarnik-si-yo-me-atrevo,alejandra-pizarnik-sentido-de-su-ausencia,vicente-huidobro-hija,vicente-huidobro-18,jaime-sabines-pequena-del-amor,alfonsina-storni-esta-tarde
alejandra-pizarnik-formas,alejandra-pizarnik-no-se-si-pajaro-o-jaula,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,vicente-huidobro-senora,mario-benedetti-buenos-dias-gabriel,mario-benedetti-a-la-izquierda-del-roble,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,alejandra-pizarnik-memoria,alejandra-pizarnik-arpa-de-silencio
cesar-vallejo-los-dados-eternos,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonso-reyes-morir,cesar-vallejo-los-nueve-monstruos,cesar-vallejo-yeso,jaime-sabines-pasa-el-lunes,cesar-vallejo-el-pan-nuestro,alejandra-pizarnik-mucho-mas-alla,alejandra-pizarnik--y-si-nos-vamos-anticipando,alfonso-reyes-el-descastado
alejandra-pizarnik-el-ausente,alejandra-pizarnik-la-sangre-quiere-sentarse,alejandra-pizarnik-ya-he-perdido-el-nombre-que-me-llamaba,alejandra-pizarnik-privilegio,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,mario-benedetti-a-la-izquierda-del-roble,alfonso-reyes-glosa-de-mi-tierra,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-el-paso-del-retorno,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa
alejandra-pizarnik-te-hablo,alejandra-pizarnik-estoy-con-pavura,mario-benedetti-a-la-izquierda-del-roble,alfonsina-storni-tu-me-quieres-blanca,cesar-vallejo-a-mi-hermano-miguel,alejandra-pizarnik-senor,alejandra-pizarnik-el-despertar,alejandra-pizarnik-mi-amor-se-amplia,alejandra-pizarnik-solo-un-amor,cesar-vallejo-quien-hace-tanta-bulla,jaime-sabines-tlaltelolco-68
alfonsina-storni-versos-otonales,alfonsina-storni-al-mirar-mis-mejillas-que-ayer-estaban-rojas,alfonsina-storni-el-sueno,alfonsina-storni-esta-tarde,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-dulce-y-sombrio,alfonsina-storni-te-acuerdas,alfonsina-storni-oh-tu,vicente-huidobro-monumento-al-mar,alfonsina-storni-tu-dulzura
