base,1,2,3,4,5,6,7,8,9,10
tirso-de-molina-yo-os-prometi-mi-libertad-querida,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-que-confusion-enmaranados-cielos,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,alfonsina-storni-un-sol,cesar-vallejo-epistola-a-los-transeuntes,alfonso-reyes-morir,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,alfonso-reyes-la-tonada-de-la-sierva-enemiga,tirso-de-molina-falsa-amistad-ladron-disimulado,tirso-de-molina-el-tardo-buey-atado-a-la-coyunda
alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,alejandra-pizarnik-noche,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonsina-storni-frente-al-mar,alejandra-pizarnik-mucho-mas-alla,alejandra-pizarnik--y-si-nos-vamos-anticipando,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-miss-x,vicente-huidobro-el-paso-del-retorno,alfonso-reyes-morir,jaime-sabines-pasa-el-lunes
alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado,alfonso-reyes-los-caballos,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,mario-benedetti-un-padre-nuestro-latinoamericano,alfonso-reyes-no-aqui-la-tierra-triunfa-y-manda,alfonso-reyes-veracruz,cesar-vallejo-los-nueve-monstruos,cesar-vallejo-el-pan-nuestro,alfonso-reyes-la-senal-funesta
vicente-huidobro-invierno-para-beberlo,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-poema-funerario,vicente-huidobro-18,vicente-huidobro-monumento-al-mar,vicente-huidobro-el-celebre-oceano,vicente-huidobro-balada-de-lo-que-no-vuelve,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-el-sueno,vicente-huidobro-solitario-invencible
alfonsina-storni-vida,cesar-vallejo-yeso,alfonso-reyes-morir,alfonsina-storni-soy-suave-y-triste-si-idolatro-puedo,alfonsina-storni-soy,alfonsina-storni-transfusion,alfonso-reyes-la-tonada-de-la-sierva-enemiga,alfonsina-storni-el-ruego,alfonsina-storni-senor-senor-hace-ya-tiempo-un-dia,jaime-sabines-miss-x,alfonsina-storni-tu-que-nunca-seras
alejandra-pizarnik-tu-eliges-el-lugar-de-la-herida,alejandra-pizarnik-poema,jaime-sabines-te-quiero-porque-tienes,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-viajero,vicente-huidobro-el-paso-del-retorno,alfonsina-storni-la-invitacion-amable,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,cesar-vallejo-a-mi-hermano-miguel,vicente-huidobro-balada-de-lo-que-no-vuelve
alfonsina-storni-date-a-volar,alfonsina-storni-anda-date-a-volar-hazte-una-abeja,alfonsina-storni-frente-al-mar,alfonsina-storni-el-divino-amor,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-la-invitacion-amable,alfonso-reyes-morir,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte
alejandra-pizarnik-balada-de-la-piedra-que-llora,alejandra-pizarnik-la-muerte-se-muere-de-risa-pero-la-vida,alejandra-pizarnik-poco-se-de-la-noche,alejandra-pizarnik-la-noche,alejandra-pizarnik-dice-que-no-sabe-del-miedo-de-la-muerte-del-amor,alejandra-pizarnik-de-rbol-de-diana,jaime-sabines-los-amorosos,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,alejandra-pizarnik-noche,alfonsina-storni-frente-al-mar,jaime-sabines-los-dias-inutiles
alfonsina-storni-en-el-fondo-del-mar,alfonsina-storni-yo-en-el-fondo-del-mar,alfonsina-storni-buscando-raices-de-alas,alfonsina-storni-retrato-de-garcia-lorca,mario-benedetti-a-la-izquierda-del-roble,alfonsina-storni-tu-me-quieres-blanca,alfonso-reyes-sol-de-monterrey,alfonso-reyes-no-aqui-la-tierra-triunfa-y-manda,alfonso-reyes-veracruz,vicente-huidobro-expres,jaime-sabines-miss-x
tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,tirso-de-molina-el-tardo-buey-atado-a-la-coyunda,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,tirso-de-molina-que-confusion-enmaranados-cielos,catulo-pajarito-delicias-de-mi-nina,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,catulo-planid-oh-las-venus-y-los-deseos,alfonso-reyes-la-tonada-de-la-sierva-enemiga
alfonso-reyes-al-declinar-la-tarde-se-acercan-los-amigos,alfonso-reyes-el-llanto,jaime-sabines-los-amorosos,alfonsina-storni-espera,alfonsina-storni-al-oido,alejandra-pizarnik-noche,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,vicente-huidobro-para-llorar,jaime-sabines-miss-x,alfonsina-storni-esta-tarde,vicente-huidobro-estrella-hija-de-estrella
jaime-sabines-te-desnudas-igual-que-si-estuvieras-sola,jaime-sabines-te-desnudas-igual,jaime-sabines-me-tienes-en-tus-manos,alfonsina-storni-el-engano,alfonsina-storni-capricho-2,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-estrella-hija-de-estrella,cesar-vallejo-a-mi-hermano-miguel,alfonsina-storni-al-oido,mario-benedetti-amor-de-tarde,alejandra-pizarnik--y-si-nos-vamos-anticipando
alejandra-pizarnik-y-fue-entonces,alejandra-pizarnik-poema-para-el-padre,vicente-huidobro-aqui-estamos,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-para-llorar,alfonso-reyes-morir,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,jaime-sabines-miss-x,cesar-vallejo-yeso
alfonsina-storni-el-cisne-enfermo,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-balada-de-lo-que-no-vuelve,alfonsina-storni-el-sueno,vicente-huidobro-monumento-al-mar,alfonsina-storni-fiero-amor,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-aqui-estamos,vicente-huidobro-para-llorar,vicente-huidobro-senora
alejandra-pizarnik-cuando-me-miras,alejandra-pizarnik-quien-alumbra,alejandra-pizarnik-esta-mania-de-saberme-angel,alejandra-pizarnik-exilio,jaime-sabines-pequena-del-amor,alejandra-pizarnik-la-luz-es-demasiado-grande,alejandra-pizarnik-origen,alfonsina-storni-esta-tarde,alfonsina-storni-plegaria-a-la-traicion,cesar-vallejo-yeso,alfonsina-storni-alma-desnuda
alejandra-pizarnik-ojos-primitivos,alejandra-pizarnik-en-donde-el-miedo-no-cuenta-cuentos-y-poemas,vicente-huidobro-viajero,vicente-huidobro-el-paso-del-retorno,jaime-sabines-adan-y-eva,mario-benedetti-buenos-dias-gabriel,alejandra-pizarnik-escucho-resonar-el-agua-que-cae-en-mi-sueno,alejandra-pizarnik-lobscurite-des-eaux,vicente-huidobro-balada-de-lo-que-no-vuelve,alejandra-pizarnik-sous-la-nuit,alejandra-pizarnik-los-ausentes-soplan-grismente-y-la-noche-es-densa
cesar-vallejo-verano,alfonso-reyes-morir,cesar-vallejo-yeso,alfonso-reyes-el-mal-confitero,alfonso-reyes-es-toledo-ciudad-eclesiastica,alfonso-reyes-la-tonada-de-la-sierva-enemiga,alfonso-reyes-los-caballos,cesar-vallejo-el-pan-nuestro,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,tirso-de-molina-coplas
