,base,1,2,3,4,5,6,7,8,9,10
53,mario-benedetti-ahora-todo-esta-claro,mario-benedetti-viceversa,mario-benedetti-a-la-izquierda-del-roble,mario-benedetti-tactica-y-estrategia,mario-benedetti-once,mario-benedetti-ningun-padre-de-la-iglesia,jaime-sabines-tlaltelolco-68,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-ustedes-cuando-aman,mario-benedetti-ustedes-y-nosotros,mario-benedetti-hagamos-un-trato
54,jaime-sabines-asi-es,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-los-amorosos,jaime-sabines-los-dias-inutiles,jaime-sabines-pasa-el-lunes,tirso-de-molina-coplas,mario-benedetti-un-padre-nuestro-latinoamericano,jaime-sabines-miss-x,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,jaime-sabines-mi-corazon-emprende
55,vicente-huidobro-horas,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-alerta,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-18,vicente-huidobro-el-celebre-oceano,vicente-huidobro-monumento-al-mar,vicente-huidobro-poema-funerario,vicente-huidobro-hija,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-sobre-la-nieve-se-oye-resbalar-la-noche
56,vicente-huidobro-poema-funerario,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-monumento-al-mar,vicente-huidobro-18,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-aqui-estamos,vicente-huidobro-senora,vicente-huidobro-para-llorar,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte
57,vicente-huidobro-arte-poetica,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-los-dias-inutiles,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-pasa-el-lunes,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-tlaltelolco-68,jaime-sabines-los-amorosos,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno
58,vicente-huidobro-hasta-cuando-sangraran-la-vida,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-el-celebre-oceano,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-horas,vicente-huidobro-alerta,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-18,jaime-sabines-miss-x,vicente-huidobro-monumento-al-mar,vicente-huidobro-poema-funerario
59,jaime-sabines-no-es-nada-de-tu-cuerpo,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-te-quiero-porque-tienes,jaime-sabines-mi-corazon-emprende,vicente-huidobro-monumento-al-mar,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-pasa-el-lunes,jaime-sabines-pequena-del-amor,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-miss-x
60,jaime-sabines-tarumba,jaime-sabines-los-dias-inutiles,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-pasa-el-lunes,jaime-sabines-miss-x,jaime-sabines-adan-y-eva,jaime-sabines-tlaltelolco-68,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-mi-corazon-emprende,vicente-huidobro-el-paso-del-retorno
61,mario-benedetti-amor-de-tarde,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-los-dias-inutiles,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-pasa-el-lunes,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-la-poesia-es-un-atentado-celeste,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-miss-x,mario-benedetti-ngelus
62,tirso-de-molina-el-tardo-buey-atado-a-la-coyunda,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,tirso-de-molina-que-confusion-enmaranados-cielos,tirso-de-molina-falsa-amistad-ladron-disimulado,tirso-de-molina-yo-os-prometi-mi-libertad-querida,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,mario-benedetti-incitacion
